Player,Position,salary_usd
Randal Grichuk,cf,"$2,000,000"
Hector Neris,rhp,"$2,000,000"
Orlando Arcia,ss,"$2,000,000"
Scott Alexander,lhp,"$2,000,000"
Amed Rosario,ss,"$2,000,000"
Phil Maton,rhp,"$2,000,000"
Jacob Stallings,c,"$2,000,000"
Ryan Yarbrough,lhp-s,"$2,000,000"
Jon Berti,lf-3b,"$2,000,000"
Cavan Biggio,2b,"$2,000,000"
Brendan Rodgers,ss,"$2,000,000"
Trent Thornton,rhp-s,"$2,000,000"
Adrian Morejon,lhp,"$2,000,000"
Cristopher Sánchez,lhp-s,"$2,000,000"
Tylor Megill,rhp,"$1,975,000"
Nick Lodolo,lhp-s,"$1,975,000"
Ernie Clement,ss,"$1,970,000"
Michael A. Taylor,cf,"$1,950,000"
Mike Tauchman,cf,"$1,950,000"
Triston McKenzie,rhp,"$1,950,000"
Edward Cabrera,rhp-s,"$1,950,000"
Trevor Megill,rhp,"$1,940,000"
Justin Martinez,rhp-c,"$1,900,000"
Luis Garcia,rhp-s,"$1,875,000"
Nick Fortes,c,"$1,860,000"
Reid Detmers,lhp,"$1,825,000"
JT Brubaker,rhp,"$1,820,000"
T.J. McFarland,lhp,"$1,800,000"
Kyle Wright,rhp-s,"$1,800,000"
Austin Slater,of,"$1,750,000"
Kyle Isbel,cf,"$1,750,000"
Joey Bart,c,"$1,750,000"
Joe Mantiply,lhp,"$1,700,000"
Zach McKinstry,2b,"$1,650,000"
Nick Sandlin,rhp,"$1,630,000"
Royce Lewis,3b-dh,"$1,625,000"
John King,lhp,"$1,605,000"
Gavin Sheets,1b,"$1,600,000"
Tim Mayza,lhp,"$1,550,000"
Braxton Garrett,lhp,"$1,530,000"
Adam Frazier,2b-of,"$1,525,000"
Carlos Carrasco,rhp-s,"$1,500,000"
Luis García,rhp,"$1,500,000"
Elias Díaz,c,"$1,500,000"
Mike Clevinger,rhp-s,"$1,500,000"
Luke Jackson,rhp,"$1,500,000"
Lou Trivino,rhp,"$1,500,000"
Alex Verdugo,lf,"$1,500,000"
Brad Keller,rhp,"$1,500,000"
Scott Barlow,rhp,"$1,500,000"
Garrett Hampson,2b-of,"$1,500,000"
Rowdy Tellez,1b,"$1,500,000"
Jorge Alcala,rhp,"$1,500,000"
Luis Torrens,c,"$1,500,000"
Pavin Smith,1b,"$1,500,000"
Colin Holderman,rhp,"$1,500,000"
Shinnosuke Ogasawara,lhp,"$1,500,000"
Keegan Akin,lhp,"$1,475,000"
Shane Baz,rhp-s,"$1,450,000"
Anthony Bender,rhp,"$1,420,000"
Mark Canha,lf,"$1,400,000"
Jacob Barnes,rhp,"$1,400,000"
Colin Poche,lhp,"$1,400,000"
Dennis Santana,rhp,"$1,400,000"
Jake Bauers,1b,"$1,400,000"
Enyel De Los Santos,rhp,"$1,400,000"
Will Vest,rhp,"$1,400,000"
Andy Ibáñez,3b,"$1,400,000"
Yuli Gurriel,1b,"$1,350,000"
Nick Madrigal,2b,"$1,350,000"
Nate Pearson,rhp,"$1,350,000"
Eric Haase,c,"$1,350,000"
Taylor Walls,ss,"$1,350,000"
Josiah Gray,rhp-s,"$1,350,000"
Sam Hentges,lhp,"$1,337,500"
Manuel Margot,rf,"$1,300,000"
Ian Gibaut,rhp,"$1,300,000"
Jacob Waguespack,rhp,"$1,300,000"
Kendall Graveman,rhp,"$1,250,000"
Tim Anderson,ss,"$1,250,000"
Shawn Armstrong,rhp,"$1,250,000"
Jalen Beeks,lhp,"$1,250,000"
Jacob Webb,rhp,"$1,250,000"
Mickey Moniak,of,"$1,250,000"
Ceddanne Rafaela,cf-inf,"$1,250,000"
José Ruiz,rhp,"$1,225,000"
Julian Merryweather,rhp,"$1,225,000"
Steven Okert,lhp,"$1,200,000"
Garrett Cleavinger,lhp,"$1,200,000"
Carlos Hernández,rhp,"$1,160,000"
Ryan Borucki,lhp,"$1,150,000"
Brock Burke,lhp,"$1,150,000"
Ben Rortvedt,c,"$1,125,000"
Patrick Corbin,lhp-s,"$1,100,000"
Luis Urías,3b,"$1,100,000"
Austin Wynns,c,"$1,100,000"
Josh Sborz,rhp,"$1,100,000"
José Suarez,lhp-s,"$1,100,000"
Cole Ragans,lhp-s,"$1,083,333"
Bryse Wilson,rhp-s,"$1,050,000"
Dylan Lee,lhp,"$1,025,000"
Beau Brieske,rhp,"$1,025,000"
Sam Moll,lhp,"$1,007,500"
Jason Heyward,rf,"$1,000,000"
Martín Maldonado,c,"$1,000,000"
Kevin Pillar,cf,"$1,000,000"
Shelby Miller,rhp,"$1,000,000"
Travis Jankowski,cf,"$1,000,000"
Paul DeJong,3b,"$1,000,000"
Drew Smith,rhp,"$1,000,000"
John Means,lhp-s,"$1,000,000"
Ty France,1b,"$1,000,000"
José Urquidy,rhp-s,"$1,000,000"
Sean Newcomb,lhp-s,"$1,000,000"
Tyler Alexander,lhp-s,"$1,000,000"
Michael Tonkin,rhp,"$1,000,000"
Justin Topa,rhp,"$1,000,000"
Connor Joe,1b-of,"$1,000,000"
Anthony Banda,lhp,"$1,000,000"
Matt Thaiss,c,"$1,000,000"
Richard Lovelady,lhp,"$1,000,000"
Felix Bautista,rhp-c,"$1,000,000"
Luis Campusano,c,"$1,000,000"
Tony Santillan,rhp,"$1,000,000"
Cooper Criswell,rhp,"$1,000,000"
Kyle Hart,lhp-s,"$1,000,000"
Dylan Carlson,cf,"$975,000"
Justin Lawrence,rhp,"$975,000"
Nick Mears,rhp,"$963,000"
Eli Morgan,rhp,"$950,000"
Sam Long,lhp,"$950,000"
Reed Garrett,rhp,"$950,000"
Ian Hamilton,rhp,"$941,050"
Tayler Saucedo,lhp,"$937,500"
Garrett Stubbs,c,"$925,000"
Cole Sulser,rhp,"$900,000"
Justin Anderson,rhp,"$900,000"
Pablo Reyes,2b-of,"$900,000"
Nick Maton,3b,"$900,000"
Tyler Gilbert,lhp,"$900,000"
Elvin Rodríguez,rhp,"$900,000"
Eduard Bazardo,rhp,"$892,700"
Anthony Volpe,ss,"$879,100"
Paul Skenes,rhp-s,"$875,000"
Brock Stewart,rhp,"$870,000"
Hunter Brown,rhp-s,"$870,000"
Bryan De La Cruz,lf,"$860,000"
Nicky Lopez,2b,"$850,000"
Johan Oviedo,rhp-s,"$850,000"
Jimmy Herget,rhp,"$850,000"
Riley Adams,c,"$850,000"
Nick Martini,1b-lf,"$850,000"
Gabe Speier,lhp,"$845,000"
Jake Cousins,rhp,"$841,050"
Derek Hill,cf,"$831,000"
Jesus Tinoco,rhp,"$831,000"
Oswaldo Cabrera,3b,"$825,600"
Kyle Nelson,lhp,"$825,000"
Ryne Nelson,rhp-s,"$825,000"
Albert Suarez,rhp,"$825,000"
Danny Young,lhp,"$825,000"
Andrés Chaparro,3b,"$821,800"
Connor Gillispie,rhp,"$820,000"
Edwin Uceta,rhp,"$815,000"
Riley Greene,lf,"$812,400"
Jackson Merrill,cf-ss,"$809,500"
Yainer Diaz,c,"$805,600"
Luis Gil,rhp-s,"$804,125"
Jake McCarthy,rf,"$803,900"
Ronel Blanco,rhp-s,"$802,700"
Blake Perkins,cf,"$802,500"
Austin Wells,c,"$801,400"
Scott Effross,rhp,"$800,000"
Bryce Miller,rhp,"$800,000"
Brandon Pfaadt,rhp-s,"$799,400"
Tyler Holton,lhp,"$797,700"
Kerry Carpenter,rf,"$796,800"
Francisco Álvarez,c,"$795,000"
Spencer Arrighetti,rhp,"$794,200"
Vinnie Pasquantino,1b,"$793,250"
Javier Assad,rhp,"$793,250"
Alek Thomas,cf,"$793,000"
Gabriel Moreno,c,"$793,000"
Bo Naylor,c,"$790,300"
Michael Massey,2b,"$790,250"
Eli White,2b,"$790,000"
Jake Burger,3b,"$790,000"
José Soriano,rhp-s,"$790,000"
Connor Wong,c,"$790,000"
Chadwick Tromp,c,"$790,000"
Ian Anderson,rhp,"$790,000"
Michael Grove,rhp,"$790,000"
Tayler Scott,rhp,"$790,000"
Logan O'Hoppe,c,"$790,000"
Luke Raley,rf,"$787,400"
Reese Olson,rhp-s,"$787,100"
Ryan Burr,rhp,"$786,000"
Spencer Torkelson,1b,"$785,700"
Tanner Banks,lhp,"$785,500"
Cade Smith,rhp,"$785,100"
Lucas Gilbreath,lhp,"$785,000"
Oneil Cruz,cf,"$785,000"
Dauri Moreta,rhp,"$785,000"
Jack Suwinski,cf,"$785,000"
Fernando Cruz,rhp,"$785,000"
José Butto,rhp,"$784,250"
Bryan Hoeing,rhp,"$784,000"
Vidal Bruján,2b,"$783,500"
Bryan Woo,rhp,"$783,300"
Jose Miranda,3b,"$783,100"
Andrew Nardi,lhp,"$783,000"
Nolan Gorman,inf-dh,"$782,900"
Ben Rice,c-1b,"$782,800"
Luis Ortiz,rhp,"$782,600"
Daniel Lynch IV,lhp-s,"$782,500"
Miguel Amaya,c,"$782,500"
Gunnar Henderson,ss,"$782,300"
Alex Lange,rhp,"$782,200"
David Fry,c-inf,"$781,900"
Tobias Myers,rhp,"$781,800"
Freddy Fermin,c,"$781,750"
Parker Meadows,cf,"$781,600"
Bowden Francis,rhp,"$781,500"
CJ Abrams,ss,"$780,600"
Josh H. Smith,ss-2b,"$780,500"
Josh Jung,3b,"$780,500"
Rafael Marchán,c,"$780,500"
Michael Busch,1b,"$780,500"
Tyler Heineman,c,"$780,300"
Gavin Williams,rhp-s,"$780,300"
Penn Murfee,rhp,"$780,000"
Graham Ashcraft,rhp,"$780,000"
TJ Friedl,lf,"$780,000"
Spencer Steer,3b,"$780,000"
Zach Neto,ss,"$780,000"
Nick Allen,ss,"$780,000"
Sam Huff,c,"$780,000"
Patrick Bailey,c,"$780,000"
Ryan Walker,rhp,"$780,000"
Heliot Ramos,of,"$780,000"
Emmet Sheehan,rhp,"$780,000"
